Name,Year,Month,Time,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7,DAY8,DAY9,DAY10,DAY11,DAY12,DAY13,DAY14,DAY15,DAY16,DAY17,DAY18,DAY19,DAY20,DAY21,DAY22,DAY23,DAY24,DAY25,DAY26,DAY27,DAY28,DAY29,DAY30,DAY31
KIAMO-Accra,2002,10,06:00,85,84,92,89,88,92,93,88,92,92,93,92,92,92,92,93,93,90,93,92,94,93,96,93,95,91,91,96,93,89,89
KIAMO-Accra,2002,10,15:00,69,69,69,66,62,67,67,68,69,67,69,69,60,80,64,64,64,63,66,65,66,72,59,64,63,64,66,68,61,68,66
KIAMO-Accra,2002,11,06:00,92,92,92,92,92,95,90,92,92,92,91,93,93,92,90,93,92,93,92,92,93,92,92,90,94,90,91,93,90,91,
KIAMO-Accra,2002,11,15:00,68,68,66,63,65,75,65,64,61,70,62,67,63,65,59,67,63,67,62,55,63,63,70,64,60,61,59,62,69,63,
KIAMO-Accra,2002,12,06:00,86,92,92,92,90,88,90,92,93,92,92,94,92,96,92,92,92,93,92,93,93,94,94,81,90,54,56,77,84,93,87
KIAMO-Accra,2002,12,15:00,64,62,67,63,66,66,66,65,64,71,61,60,66,60,62,66,62,65,59,64,68,64,51,35,22,27,27,52,55,50,63
KIAMO-Accra,2003,01,06:00,94,95,92,95,95,93,93,94,92,93,92,93,92,90,92,92,90,92,90,87,89,92,89,84,88,89,91,91,83,53,87
KIAMO-Accra,2003,01,15:00,60,63,64,63,62,64,64,68,74,69,68,78,70,64,75,60,64,66,65,63,69,64,54,68,63,66,62,60,29,41,61
KIAMO-Accra,2003,02,06:00,92,88,92,92,92,93,91,92,90,76,94,93,89,89,82,88,92,85,94,88,90,92,92,90,92,90,81,88,,,
KIAMO-Accra,2003,02,15:00,55,63,61,65,60,67,62,61,62,69,61,56,57,57,58,65,56,57,61,68,56,57,66,59,54,61,59,60,,,
